Region,City,A. Uniques of First Scribe Created,B. Total Events of Scribe Created
Alabama,Akron,0,36
Alabama,Alabaster,3,4
Alabama,Albertville,14,11192
Alabama,Alexander City,1,240
Alabama,Alexandria,0,10
Alabama,Aliceville,0,51
Alabama,Alpine,0,27
Alabama,Andalusia,0,1
Alabama,Anniston,0,166
Alabama,Arab,1,24
Alabama,Ashland,0,3
Alabama,Ashville,1,210
Alabama,Athens,2,199
Alabama,Atmore,2,4
Alabama,Auburn,6,139
Alabama,Bay Minette,0,178
Alabama,Bessemer,2,82
Alabama,Birmingham,70,15472
Alabama,Boaz,0,31
Alabama,Brent,0,1
Alabama,Brewton,0,225
Alabama,Butler,0,219
Alabama,Carbon Hill,0,1
Alabama,Carrollton,0,51
Alabama,Castleberry,0,36
Alabama,Centre,1,142
Alabama,Centreville,4,1525
Alabama,Childersburg,0,6
Alabama,Clanton,0,669
Alabama,Columbiana,0,35
Alabama,Cottonwood,1,1
Alabama,Cropwell,0,24
Alabama,Crossville,0,175
Alabama,Cuba,0,90
Alabama,Cullman,1,53
Alabama,Dadeville,2,11
Alabama,Daleville,0,14
Alabama,Daphne,0,62
Alabama,Deatsville,0,2
Alabama,Decatur,6,1720
Alabama,Dora,1,38
Alabama,Dothan,7,799
Alabama,Duncanville,0,1715
Alabama,Dutton,0,1
Alabama,Enterprise,2,12
Alabama,Epes,0,4
Alabama,Fairhope,1,297
Alabama,Fayette,0,111
Alabama,Florence,1,79
Alabama,Foley,1,748
Alabama,Fort Payne,2,119
Alabama,Frisco City,0,47
Alabama,Fultondale,0,4
Alabama,Gadsden,1,695
Alabama,Gardendale,3,582
Alabama,Gordo,0,125
Alabama,Guin,0,65
Alabama,Guntersville,1,352
Alabama,Gurley,0,100
Alabama,Haleyville,0,11
Alabama,Hamilton,0,99
Alabama,Hartselle,1,941
Alabama,Harvest,0,3
Alabama,Helena,0,12
Alabama,Henagar,0,634
Alabama,Hoover,0,132
Alabama,Huntsville,13,2143
Alabama,Jack,1,53
Alabama,Jasper,1,1804
Alabama,Jemison,0,54
Alabama,Leeds,1,88
Alabama,Lineville,0,27
Alabama,Madison,9,1714
Alabama,Marion,0,29
Alabama,McCalla,0,3
Alabama,Meridianville,1,7
Alabama,Mobile,15,6815
Alabama,Monroeville,3,2394
Alabama,Montevallo,2,236
Alabama,Montgomery,15,1822
Alabama,Moody,0,33
Alabama,Moundville,2,1572
Alabama,Muscle Shoals,2,1264
Alabama,New Hope,1,144
Alabama,Newton,0,3
Alabama,Northport,1,909
Alabama,Notasulga,0,78
Alabama,Odenville,0,194
Alabama,Ohatchee,0,1
Alabama,Oneonta,0,1
Alabama,Opelika,5,6673
Alabama,Orange Beach,0,1
Alabama,Owens Cross Roads,1,160
Alabama,Oxford,1,287
Alabama,Ozark,2,274
Alabama,Pelham,0,24
Alabama,Pell City,0,50
Alabama,Peterman,0,26
Alabama,Phenix City,3,466
Alabama,Piedmont,0,22
Alabama,Pike Road,1,3
Alabama,Pinson,0,15
Alabama,Pleasant Grove,0,2
Alabama,Prattville,1,165
Alabama,Ragland,0,18
Alabama,Ralph,1,2
Alabama,Riverside,0,162
Alabama,Roanoke,0,13
Alabama,Salem,0,48
Alabama,Saraland,0,42
Alabama,Scottsboro,1,1939
Alabama,Selma,0,55
Alabama,Semmes,1,25
Alabama,Sheffield,1,330
Alabama,Slocomb,1,2
Alabama,Somerville,0,3
Alabama,Spanish Fort,0,99
Alabama,Springville,0,13
Alabama,Stevenson,0,137
Alabama,Sycamore,0,123
Alabama,Sylacauga,1,370
Alabama,Talladega,3,211
Alabama,Tallassee,0,100
Alabama,Theodore,1,440
Alabama,Thomasville,0,25
Alabama,Thorsby,0,485
Alabama,Trinity,1,2
Alabama,Troy,0,5
Alabama,Trussville,0,32
Alabama,Tuscaloosa,5,2133
Alabama,Tuscumbia,0,444
Alabama,Vincent,0,2
Alabama,Warrior,0,26
Alabama,Wetumpka,1,176
Alabama,Wilsonville,0,25
Alabama,York,0,90
Alabama,undefined,1,234
Alaska,Anchorage,25,3916
Alaska,Barrow,0,53
Alaska,Eagle River,1,6
Alaska,Fairbanks,1,13
Alaska,Juneau,1,562
Alaska,Kenai,0,43
Alaska,Ketchikan,0,1664
Alaska,Kodiak Station,0,1
Alaska,Kodiak,0,1
Alaska,North Pole,1,11
Alaska,Palmer,2,5
Alaska,Sitka,0,155
Alaska,Soldotna,1,36
Alaska,Wasilla,5,105
Arizona,Apache Junction,2,279
Arizona,Avondale,4,1606
Arizona,Bisbee,0,23
Arizona,Buckeye,2,8
Arizona,Bullhead City,3,817
Arizona,Carefree,0,3
Arizona,Casa Grande,2,35
Arizona,Chandler,14,1377
Arizona,Chinle,0,14
Arizona,Chino Valley,0,1
Arizona,Cottonwood,1,1
Arizona,Douglas,1,48
Arizona,Eagar,0,3
Arizona,El Mirage,1,2
Arizona,Flagstaff,1,31
Arizona,Fountain Hills,1,689
Arizona,Ganado,2,9
Arizona,Gilbert,18,4686
Arizona,Glendale,15,1999
Arizona,Goodyear,3,37
Arizona,Green Valley,1,59
Arizona,Kingman,2,43
Arizona,Lake Havasu City,1,8
Arizona,Laveen,0,17
Arizona,Litchfield Park,0,30
Arizona,Marana,3,4260
Arizona,Maricopa,2,134
Arizona,Mesa,22,8014
Arizona,Nogales,0,1
Arizona,Overgaard,0,9
Arizona,Page,1,2
Arizona,Paradise Valley,2,47
Arizona,Peoria,11,1376
Arizona,Phoenix,226,35843
Arizona,Pinetop-Lakeside,0,1
Arizona,Prescott Valley,6,407
Arizona,Prescott,3,236
Arizona,Queen Creek,4,32
Arizona,Sahuarita,2,8
Arizona,San Carlos,0,254
Arizona,San Luis,1,10
Arizona,San Tan Valley,0,269
Arizona,Scottsdale,24,2689
Arizona,Sedona,2,98
Arizona,Show Low,1,284
Arizona,Sierra Vista,2,15
Arizona,Sun City,1,511
Arizona,Surprise,5,924
Arizona,Tempe,16,6181
Arizona,Tolleson,0,119
Arizona,Tucson,53,11494
Arizona,Vail,1,38
Arizona,Waddell,1,15
Arizona,Whiteriver,1,12
Arizona,Wickenburg,0,98
Arizona,Youngtown,1,15
Arizona,Yuma,2,601
Arizona,undefined,9,2707
Arkansas,Alexander,0,19
Arkansas,Austin,0,12
Arkansas,Batesville,1,1
Arkansas,Bella Vista,1,829
Arkansas,Benton,4,189
Arkansas,Bentonville,9,2888
Arkansas,Bigelow,0,273
Arkansas,Blytheville,0,157
Arkansas,Bryant,1,9
Arkansas,Cabot,0,8
Arkansas,Cave Springs,0,203
Arkansas,Centerton,0,671
Arkansas,Cherokee Village,1,1
Arkansas,Clinton,0,42
Arkansas,Conway,2,166
Arkansas,Crossett,1,15
Arkansas,Dardanelle,0,28
Arkansas,De Queen,1,1
Arkansas,Earle,0,2
Arkansas,El Dorado,2,29
Arkansas,Elaine,0,12
Arkansas,Enola,0,5
Arkansas,Farmington,0,1
Arkansas,Fayetteville,0,1169
Arkansas,Flippin,1,2
Arkansas,Forrest City,0,62
Arkansas,Fort Smith,10,7383
Arkansas,Gentry,0,5
Arkansas,Greenbrier,1,125
Arkansas,Harrison,1,1
Arkansas,Heber Springs,0,3
Arkansas,Hector,0,1
Arkansas,Holly Grove,0,5
Arkansas,Hope,0,5
Arkansas,Hot Springs Village,0,7
Arkansas,Hot Springs,9,902
Arkansas,Houston,1,7
Arkansas,Huntsville,1,2
Arkansas,Jacksonville,1,104
Arkansas,Jonesboro,6,1750
Arkansas,Leachville,0,17
Arkansas,Lepanto,0,24
Arkansas,Lexa,0,12
Arkansas,Little Rock,12,2493
Arkansas,Magnolia,0,5
Arkansas,Malvern,0,5
Arkansas,Marion,1,58
Arkansas,Marshall,1,158
Arkansas,Maumelle,1,35
Arkansas,Mountain Home,2,11
Arkansas,Nashville,0,82
Arkansas,North Little Rock,5,495
Arkansas,Ola,1,1
Arkansas,Ozark,1,6
Arkansas,Paragould,0,4
Arkansas,Piggott,0,41
Arkansas,Pine Bluff,1,1
Arkansas,Rogers,3,4346
Arkansas,Rosie,1,1
Arkansas,Russellville,0,98
Arkansas,Searcy,2,471
Arkansas,Sheridan,0,19
Arkansas,Sherwood,1,53
Arkansas,Siloam Springs,2,281
Arkansas,Springdale,1,419
Arkansas,Tyronza,0,1
Arkansas,Van Buren,0,4
Arkansas,Vilonia,0,19
Arkansas,Waldron,1,153
Arkansas,West Helena,0,10
Arkansas,West Memphis,2,117
Arkansas,White Hall,0,2
Arkansas,Williford,0,1
Arkansas,Wynne,1,1
Arkansas,undefined,1,134
California,Agoura,0,48
California,Alameda,5,250
California,Alamo,1,68
California,Alhambra,4,59
California,Aliso Viejo,6,1272
California,Alpine,1,7
California,American Canyon,0,162
California,Anaheim,20,2643
California,Anderson,0,16
California,Antelope,1,13
California,Antioch,4,136
California,Apple Valley,1,95
California,Aptos,4,4
California,Arcadia,2,134
