Region,City,A. Uniques of First Scribe Created,B. Total Events of Scribe Created,c. EHR,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS (block),Full FIPS (tract),Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code,County Subdivision Name,County Subdivision FIPS,County Subdivision Class Code,County Subdivision Class Description,ZIP+4 Range Start,ZIP+4 Range End (or blank if no range),ZIP 9 Range Start,ZIP 9 Range End (or blank if no range),Record Type Code,Record Type Description,Residential Indicator,Carrier Route ID,Carrier Route Description,Building or Firm Name,Government Building Code,Government Building Description,Facility Code,Facility Description,City Delivery?,Valid delivery area?,Exact Match?
Alabama,Akron,0,36,Epic,32.855347,-87.721868,1,place,,,"Akron, AL 35441",,,,,Akron,AL,Hale County,35441,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1065,,,40100,1025,1,1.07E+13,1065040100,"Tuscaloosa, AL",46220,metropolitan,,,,,Stewart-Akron,93015,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Alabaster,3,4,Kareo,33.193415,-86.794377,1,place,,,"Alabaster, AL 35007",,,,,Alabaster,AL,Shelby County,35007,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1117,Alabaster,100820,30612,1019,1,1.12E+13,1117030612,"Birmingham, AL",13820,metropolitan,"Birmingham-Cullman-Talladega, AL",142,,,Alabaster-Helena,90036,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Albertville,14,11192,Greenway,34.249752,-86.261095,1,place,,,"Albertville, AL 35950",,,,,Albertville,AL,Marshall County,35950,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1095,,,30904,3033,3,1.10E+13,1095030904,"Albertville, AL",10700,micropolitan,"Huntsville-Decatur-Albertville, AL-TN",290,,,Albertville-Boaz,90054,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Alexander City,1,240,Meditech,32.916507,-85.940602,1,place,,,"Alexander City, AL 35010",,,,,Alexander City,AL,Tallapoosa County,35010,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1123,Alexander City,101132,962301,2010,2,1.12E+13,1123962301,"Alexander City, AL",10760,micropolitan,"Columbus-Auburn-Opelika, GA-AL",194,,,Alexander City,90063,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Alexandria,0,10,Caretaker,33.780861,-85.904456,1,place,,,"Alexandria, AL 36250",,,,,Alexandria,AL,Calhoun County,36250,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1015,Alexandria,101180,2504,3001,3,1.02E+13,1015002504,"Anniston-Oxford, AL",11500,metropolitan,,,,,Alexandria-Webster Chapel,90066,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Aliceville,0,51,eClinicalWorks,33.12957,-88.15142,1,place,,,"Aliceville, AL 35442",,,,,Aliceville,AL,Pickens County,35442,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1107,Aliceville,101228,50402,2042,2,1.11E+13,1107050402,"Tuscaloosa, AL",46220,metropolitan,,,,,Aliceville,90072,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Alpine,0,27,Other,33.403969,-86.233878,1,place,,,"Alpine, AL 35014",,,,,Alpine,AL,Talladega County,35014,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1121,,,11200,2007,2,1.12E+13,1121011200,"Talladega-Sylacauga, AL",45180,micropolitan,"Birmingham-Cullman-Talladega, AL",142,,,Renfroe-Laniers,92709,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Andalusia,0,1,undefined,31.3085,-86.48329,1,place,,,"Andalusia, AL 36420",,,,,Andalusia,AL,Covington County,36420,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1039,Andalusia,101708,962000,4022,4,1.04E+13,1039962000,,,,,,,,Andalusia,90090,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Anniston,0,166,Other,33.64916,-85.879642,1,place,,,"Anniston, AL 36201",,,,,Anniston,AL,Calhoun County,36201,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1015,West End-Cobb Town,181084,1300,2016,2,1.02E+13,1015001300,"Anniston-Oxford, AL",11500,metropolitan,,,,,Anniston,90099,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Arab,1,24,undefined,34.31815,-86.49582,1,place,,,"Arab, AL 35016",,,,,Arab,AL,Marshall County,35016,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1095,Arab,102116,30401,1035,1,1.10E+13,1095030401,"Albertville, AL",10700,micropolitan,"Huntsville-Decatur-Albertville, AL-TN",290,,,Arab,90108,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
